trainset_number,current_mileage,stabling_bay,fc_type,fc_status,fc_issue_date,fc_expiry_date,fc_authority,fc_number,job_card_number,job_description,job_status,job_priority,job_created_date,job_due_date,brand_name,campaign_name,brand_priority,brand_start_date,brand_end_date,revenue_impact,daily_mileage,cumulative_mileage,mileage_date,route,cleaning_type,cleaning_date,cleaning_bay,cleaning_crew,cleaning_duration
TS-2001,132997,Bay-03,Rolling-Stock,Expired,2025-03-04,2025-08-27,KMRL,FC-TS-2001-001,,,,,,,,,,,,,702,139595,2025-09-22,Red Line,,2025-09-23,,Crew-9,240.0
TS-2002,129104,Bay-07,Rolling-Stock,Expired,2025-04-21,2025-09-15,KMRL,FC-TS-2002-001,JB-4002,Brake system repair,Open,Medium,2025-09-08,2025-09-24,Airtel,Metro Campaign 30,Medium,2025-08-15,2025-11-10,429522.0,559,117230,2025-09-22,Blue Line,Basic,,,,
TS-2003,86902,Bay-08,Signalling,Valid,2025-04-23,2026-05-22,KMRL,FC-TS-2003-001,,,,,,,,,,,,,431,104811,2025-09-22,Green Line,Detailing,2025-09-23,,,180.0
TS-2004,119706,Bay-04,Signalling,Expired,2025-05-23,2025-08-26,KMRL,FC-TS-2004-001,,,,,,,,,,,,,243,122595,2025-09-22,Green Line,,,,Crew-8,180.0
TS-2005,137873,Bay-09,Rolling-Stock,Valid,2025-05-04,2026-01-20,KMRL,FC-TS-2005-001,,,,,,,Airtel,Metro Campaign 2,Low,2025-08-08,2026-02-10,468929.0,446,140576,2025-09-22,Green Line,,,,,180.0
TS-2006,148089,Bay-06,Signalling,Valid,2025-08-07,2026-05-13,KMRL,FC-TS-2006-001,,,,,,,,,,,,,202,92396,2025-09-22,Blue Line,Basic,2025-09-23,,Crew-10,180.0
TS-2007,107699,Bay-06,Telecom,Valid,2024-11-27,2026-02-15,KMRL,FC-TS-2007-001,,,,,,,Coca-Cola,Metro Campaign 18,High,2025-08-06,2026-03-02,229711.0,403,104589,2025-09-22,Blue Line,,,Bay-C2,,180.0
TS-2008,127235,Bay-10,Signalling,Valid,2025-03-25,2025-12-05,KMRL,FC-TS-2008-001,,,,,,,,,,,,,280,129714,2025-09-22,Green Line,Basic,2025-09-23,,Crew-5,
TS-2009,95147,Bay-02,Telecom,Valid,2024-09-13,2026-01-09,KMRL,FC-TS-2009-001,,,,,,,Airtel,Metro Campaign 44,Low,2025-08-25,2026-02-27,388695.0,619,135743,2025-09-22,Green Line,,2025-09-23,Bay-C1,Crew-4,
TS-2010,145619,Bay-01,Signalling,Valid,2024-08-29,2026-05-11,KMRL,FC-TS-2010-001,JB-4010,Brake system repair,Open,High,2025-09-14,2025-09-29,LG Electronics,Metro Campaign 14,Medium,2025-08-02,2025-11-29,356039.0,567,83683,2025-09-22,Green Line,Basic,,Bay-C4,Crew-6,
TS-2011,145069,Bay-05,Rolling-Stock,Valid,2024-12-27,2025-11-15,KMRL,FC-TS-2011-001,,,,,,,Airtel,Metro Campaign 37,Low,2025-09-05,2025-11-16,77318.0,394,123808,2025-09-22,Blue Line,Detailing,2025-09-23,,Crew-9,
TS-2012,137296,Bay-03,Rolling-Stock,Valid,2025-04-14,2026-06-23,KMRL,FC-TS-2012-001,JB-4012,Brake system repair,Open,High,2025-09-12,2025-09-28,,,,,,,587,130785,2025-09-22,Red Line,Basic,2025-09-23,,Crew-1,
TS-2013,124633,Bay-01,Telecom,Valid,2025-04-27,2026-08-21,KMRL,FC-TS-2013-001,,,,,,,,,,,,,439,107031,2025-09-22,Red Line,,2025-09-23,,Crew-3,
TS-2014,105249,Bay-04,Rolling-Stock,Valid,2025-03-17,2026-02-24,KMRL,FC-TS-2014-001,JB-4014,Door mechanism maintenance,Open,High,2025-09-09,2025-09-28,,,,,,,787,94655,2025-09-22,Green Line,,,,Crew-10,180.0
TS-2015,101835,Bay-10,Telecom,Valid,2024-10-03,2026-01-21,KMRL,FC-TS-2015-001,,,,,,,,,,,,,400,138833,2025-09-22,Blue Line,,2025-09-23,,,240.0
TS-2016,120602,Bay-04,Telecom,Valid,2025-08-04,2026-08-21,KMRL,FC-TS-2016-001,,,,,,,,,,,,,686,118545,2025-09-22,Green Line,,,,Crew-9,180.0
TS-2017,124282,Bay-09,Telecom,Expired,2025-04-09,2025-09-02,KMRL,FC-TS-2017-001,JB-4017,Wheel replacement,Open,Low,2025-09-12,2025-09-27,,,,,,,341,132121,2025-09-22,Blue Line,,2025-09-23,,,
TS-2018,125638,Bay-01,Telecom,Valid,2025-03-21,2026-01-20,KMRL,FC-TS-2018-001,,,,,,,,,,,,,566,95074,2025-09-22,Blue Line,,2025-09-23,Bay-C2,,360.0
TS-2019,131155,Bay-02,Rolling-Stock,Valid,2025-07-31,2026-04-17,KMRL,FC-TS-2019-001,,,,,,,,,,,,,219,91617,2025-09-22,Green Line,Basic,2025-09-23,Bay-C1,Crew-6,240.0
TS-2020,133714,Bay-02,Rolling-Stock,Valid,2024-10-22,2026-04-19,KMRL,FC-TS-2020-001,JB-4020,Air conditioning service,Open,High,2025-09-16,2025-09-28,,,,,,,542,114455,2025-09-22,Blue Line,Detailing,,,,
TS-2021,105888,Bay-07,Signalling,Valid,2024-12-14,2026-01-23,KMRL,FC-TS-2021-001,JB-4021,Wheel replacement,Open,High,2025-09-10,2025-09-27,,,,,,,588,81619,2025-09-22,Green Line,,2025-09-23,,,
TS-2022,112803,Bay-09,Telecom,Valid,2025-05-12,2026-06-28,KMRL,FC-TS-2022-001,JB-4022,Door mechanism maintenance,Open,Medium,2025-09-14,2025-09-25,Airtel,Metro Campaign 38,Low,2025-09-07,2026-01-01,98550.0,648,118168,2025-09-22,Blue Line,,,Bay-C4,,240.0
TS-2023,89831,Bay-06,Signalling,Valid,2025-04-24,2025-11-17,KMRL,FC-TS-2023-001,,,,,,,Coca-Cola,Metro Campaign 28,High,2025-07-26,2025-12-21,193572.0,552,117272,2025-09-22,Blue Line,Basic,2025-09-23,Bay-C1,Crew-3,360.0
TS-2024,122562,Bay-08,Signalling,Expired,2024-11-06,2025-08-29,KMRL,FC-TS-2024-001,,,,,,,Samsung,Metro Campaign 42,Low,2025-08-08,2026-01-15,354262.0,628,145683,2025-09-22,Green Line,,,,,
TS-2025,99948,Bay-04,Rolling-Stock,Expired,2024-09-28,2025-09-06,KMRL,FC-TS-2025-001,JB-4025,Brake system repair,Open,High,2025-09-18,2025-09-30,BSNL,Metro Campaign 1,Low,2025-08-20,2025-12-27,197457.0,511,145788,2025-09-22,Blue Line,Detailing,,Bay-C5,,
